example_id,customer_message,actual_intent,nearest_reference_intent,similarity_score,nearest_reference_message
111,@AmazonHelp You should definitely make it available people..like really,FEEDBACK,ORDER_CANCELLATION,0.0478,@AmazonHelp I’ll definitely be calling later  👍🏻 this has been happening for months and they said they canceled it
112,"@AmazonHelp So why do you have a twitter if it just asks us to email you? My order is unfulfilled, this is a complaint. Why must i email you?",ORDER_DISPATCH,DELIVERY_DELAY,0.1289,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8
113,@AmazonHelp I have a complaint against your seller then!,SELLER,SELLER,0.0775,"@AmazonHelp Sorry, forgot to mention. I do not use seller central. I am a local seller. selling books only in Mumbai."
114,"@AmazonHelp I ordered some stuff,and it offered me prime shipping which I gladly accepted it.I check my bank statement today and they charge me almost $12.so I called and they say because I use the free one months ago,but when I was checking out it never told me I was ineligible for it",PAYMENT,ORDER_CANCELLATION,0.144,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
115,"@AmazonHelp え、、、アマゾンのカスタマーサービスさん⁇😅
ノリがいいなぁ。ひょっとして関西人とか⁉️",CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,0.0075,@AmazonHelp thank you!
116,@AmazonHelp I was promised a replacement before tomorrow early morning.Bt I don't see any updates on that. https://t.co/fBwzdFFCGb,OTHER,INSUFFICIENT_CONTEXT,0.106,@AmazonHelp https://t.co/6fLBNDgeEA
117,@AmazonHelp I have to return only... No other option i have... Now you have to give me the same product in same price...,RETURN,INSUFFICIENT_CONTEXT,0.1708,@AmazonHelp How long I have to wait??
118,"@AmazonHelp form filled no reply yet
such an unstrustworthy service by amazon 3 days delayed from expected delivery date",DELIVERY_DELAY,CUSTOMER_SERVICE,0.1258,@AmazonHelp FRM many days I am getting only this reply from fb team. But I get no reply @115850
119,@AmazonHelp no veo q nada raro.Es 1 envío dentro d la península.Al menos he conseguido guardar la dirección.A ver si la próxima vez lo logro,DELIVERY_INSTRUCTIONS,DELIVERY_TRACKING,0.1127,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
120,"@AmazonHelp Correct. I set the Sonos skill up with my speaker and my Spotify account, but it only plays out of the echo.",DEVICE,RESOLUTION_CONFIRMATION,0.0879,@AmazonHelp Thanks for the acknowledgement of the issue.
121,@AmazonHelp When?  In coming new year? Busy looting other innocent customers or what? @115851 @12934 @1840,CUSTOMER_SERVICE,REFUND,0.0554,"@AmazonHelp What mentioned time?? 
3-5 days or 10-15 days"
122,@AmazonHelp I have to login to view the page.,WEBSITE_OR_APP,INSUFFICIENT_CONTEXT,0.153,@AmazonHelp How long I have to wait??
123,"@AmazonHelp I've already reached out three times, spoke with Amazon logistics, and was told there is nothing they can do other than redeliver tmrw",DELIVERY_PROBLEM,DELIVERY_PROBLEM,0.1371,@AmazonHelp Amazon Logistics https://t.co/M5ZXkLjRbI
124,@AmazonHelp November 7th. It’s said “Out for delivery” and “Arriving today by 8pm” every day since the 7th.,DELIVERY_PROBLEM,RESOLUTION_CONFIRMATION,0.1241,@AmazonHelp Hi ya. Not to worry found the answer on your website. It is back out for delivery today. Thanks
125,"@AmazonHelp It says expected yesterday, another says already delivered. I have none of these items.",PACKAGE_NOT_RECEIVED,FEEDBACK,0.1941,@AmazonHelp It says AMZL US
126,@AmazonHelp Then surely it should have been updated on my acc and not asked for a review.,FEEDBACK,PAYMENT,0.0889,"@AmazonHelp I can't find it anywhere in my orders, I only see it on my bank statement."
127,"@AmazonHelp Link provided is for buyers, we are seller on Amazon.in",SELLER,SELLER,0.0717,"@AmazonHelp Sorry, forgot to mention. I do not use seller central. I am a local seller. selling books only in Mumbai."
128,"@AmazonHelp ""Alexa, What's the weather like"" 
""Currently in Kozhikode, Kansas, it is..."" for fuck's sake, I live in Kozhikode but Kozhikode is NOT in Kansas. Is Alexa actually intelligent? You tell me @115850. She's your kid.",DEVICE,DELIVERY_TRACKING,0.089,"@AmazonHelp 3 DAYS, NOT A SINGLE UPDATE OF THE STATUS OF MY ORDER. WHAT THE FUCK IS THIS?"
129,@AmazonHelp Is there a way to find out if my package has been lost? There hasn’t been an update on it since early Sunday.,PACKAGE_NOT_RECEIVED,DELIVERY_DELAY,0.0819,@AmazonHelp It will be there Sunday. Errr..It will be there Monday. Errr...We can send another TV?
130,"@AmazonHelp Guideline says I should not be directly or indirectly associated with product as in biased comment, which am satisfying. Then why not allow?",FEEDBACK,DELIVERY_PROBLEM,0.0525,"@AmazonHelp Shows as ""In Transit: Delivery attempted"", but also says it tried to deliver to a business address, but I don't live at a business address?"
131,@AmazonHelp D'accord merci,RESOLUTION_CONFIRMATION,DELIVERY_TRACKING,0.0571,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS"
132,"@AmazonHelp It SAID same day, but then it said it would send me confirmation, and when I got the confirmation it said Nov 5th.",DELIVERY_TRACKING,DELIVERY_DELAY,0.1556,@AmazonHelp It just says “Delivery date pending. We'll email you as soon as we have a delivery date.” When I ordered it said 4-5 days. It has now been 8
133,@AmazonHelp Thanks!,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,0.3481,@AmazonHelp Thanks for the acknowledgement of the issue.
134,@AmazonHelp Why am I not surprised this still is unresolved,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.0504,@AmazonHelp FRM many days I am getting only this reply from fb team. But I get no reply @115850
135,@AmazonHelp Enough of this nuisance!! Its been 8 months since my money is not refunded and even now i just got an email on 30th oct syaing the matter,REFUND,CUSTOMER_SERVICE,0.0694,@AmazonHelp i’m the only person with access and i’ve sent an email to support about it before
136,@AmazonHelp Expédié par un vendeur tiers je crois,SELLER,PACKAGE_NOT_RECEIVED,0.0572,@AmazonHelp Je n'ai ni l'un ni l'autre mais la notification amazon que le colis est livré
137,"@AmazonHelp Video stutters, no audio and video freezing. Pause for a couple sec &amp; fine for another 20m. I'm on gig internet hardwired tv.",DEVICE,DELIVERY_DELAY,0.0391,@AmazonHelp It will be there Sunday. Errr..It will be there Monday. Errr...We can send another TV?
138,@AmazonHelp Yes.,INSUFFICIENT_CONTEXT,RESOLUTION_CONFIRMATION,0.3612,"@AmazonHelp Yes
Have done whatever I could."
139,"@AmazonHelp Yes Sir,I reported,they assured me too 4 d return &amp;said pickup agent vl contact U but nothing done.",RETURN,RESOLUTION_CONFIRMATION,0.1083,"@AmazonHelp Yes
Have done whatever I could."
140,@AmazonHelp Yup 😢 I cancelled the order now,ORDER_CANCELLATION,DELIVERY_TRACKING,0.083,"@AmazonHelp Yep emailed them twice, no response. Not impressed. Can't you access a system to see where the order is? Can't anyone?"
141,@AmazonHelp I still have not received my codes. Pre ordered back in April.,OTHER,ORDER_DISPATCH,0.0898,@AmazonHelp Shouldn't you know? It's here: https://t.co/GqtKdNdeps. Now saying 1-2 month dispatch; it didn't a month ago when I pre-ordered it.
142,@AmazonHelp J'ai reçu ce mail ce matin malgré avoir annoncé que j'avais bien reçu la commande. 😬À qui dois-je répondre ? https://t.co/RS1HNVHdDE,OTHER,RETURN,0.1067,@AmazonHelp Pour que je puisse me faire rembourser sans problème sur l'article que je dois vous renvoyer que dois-je mettre en raison de renvoi ?
143,@AmazonHelp Werde ich mal machen... Danke,RESOLUTION_CONFIRMATION,FEEDBACK,0.1469,"@AmazonHelp Ich bezahle Geld, um Serien, die ich sehen will, wann ich will, wo ich will zu gucken. Werbung (jegl. Art) sollte vermieden werden."
144,@AmazonHelp We still have not heard back yet from you regarding this fraud case. An amazon vendor is using our name and address and we are receiving multiple amazon return items to our home. This needs to stop immediately. @115821 @115851,ACCOUNT,ORDER_CANCELLATION,0.0601,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
145,"@AmazonHelp Sirji , i have already did that , but even tortoise can walk faster than the resolution process of Amzon , check my history via my number @109028, no need to delete this tweet ..",CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.1136,@AmazonHelp Did you even read my tweet? 🤦‍♀️
146,@AmazonHelp Non c'était pas prévu il me semble. Comme elle est USB c je me suis dit qu'ils mettraient directement le câble plutôt qu'un usb normal,PRODUCT_INFORMATION,DELIVERY_DELAY,0.089,"@AmazonHelp Non pas particulièrement, juste qu’il y a encore quelques mois quand on passait une commande chez vous on recevait le colis dans les 2-3 jours, et aujourd’hui si on est a pas Prime on nous annonce une livraison pour 7 jours après, malgré la dispo en stock des produits… 🙄"
147,@AmazonHelp Ok thank you,RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,0.5229,@AmazonHelp thank you!
148,"@AmazonHelp I just gave you the tracking number. Go to your data base, not Twitter, and hunt the damn thing down. I pay Prime. I expect Prime service",DELIVERY_PROBLEM,DELIVERY_DELAY,0.0772,@AmazonHelp I ordered something yesterday and I do have prime and the item was eligible for prime shipping but it says it won’t be here until the 10th
149,@AmazonHelp Just re-ordered with another email address and now that account has been immediately locked,ACCOUNT,FEEDBACK,0.0926,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would."
150,@AmazonHelp Please share the escalation matrix.,CUSTOMER_SERVICE,DELIVERY_DELAY,0.0433,"@AmazonHelp Hello, I understand that. The delivery tracker was showing that it may get delayed till Sunday. Please deliver it TODAY and keep your words."
151,@AmazonHelp I have already sent a mail yesterday at 9pm &amp; called customer care but no response as of now. Marked mail to Jeff also.#fraud,ACCOUNT,CUSTOMER_SERVICE,0.0939,"@AmazonHelp There is no such option for me, and i have send a mail almost 24 hours ago with no response, I need this fixed asap please."
152,@AmazonHelp Merci,RESOLUTION_CONFIRMATION,DELIVERY_TRACKING,0.0862,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS"
153,@AmazonHelp Nope! 18-20th. Not acceptable,DELIVERY_TRACKING,ACCOUNT,0.0229,@AmazonHelp Unfortunately not. It was ordered from my friends account
154,@AmazonHelp Still waiting,CUSTOMER_SERVICE,DELIVERY_TRACKING,0.1051,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?
155,@AmazonHelp The delivery date was supposed to be today,DELIVERY_DELAY,DELIVERY_DELAY,0.2041,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
156,@AmazonHelp i dont have any fax service in my town and u ppl r crazy,ACCOUNT,DELIVERY_TRACKING,0.0763,@AmazonHelp Still don’t have any clue on the status of my order placed 27 days back. What is stopping you to update atleast a status on when and where ?
157,"@AmazonHelp #unprofessional order id # 
403-7503264-7181114,403-8300003-6354735,403-5491238-8117144",CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,0.1567,@AmazonHelp #403-8592504-0317160. you can check my order no.
158,@AmazonHelp Yes iv done everything iv just sent you a full message now ..,PACKAGE_NOT_RECEIVED,RESOLUTION_CONFIRMATION,0.1276,"@AmazonHelp Yes
Have done whatever I could."
159,"@AmazonHelp わかりますが、同じ表品を2セットで別はやっぱり嫌です…
開けると「入るやん」って思ってしまいますし…
でも、わざわざありがとうございます😊",FEEDBACK,CASUAL_ENGAGEMENT,0.0049,@AmazonHelp thank you!
160,@AmazonHelp It's on Amazon.in but transaction has been made on .uk,PAYMENT,CASUAL_ENGAGEMENT,0.1052,"@AmazonHelp hehe 🙃 he's not born yet, but I just had to get him the Bouncer, been getting loads of things on Amazon, I love it 😍😁"
161,@AmazonHelp Why false assurances then,CUSTOMER_SERVICE,DELIVERY_DELAY,0.0408,"@AmazonHelp But I ordered it originally said it’d be here by Friday, why did it change?"
162,@AmazonHelp Call me option is not working. PL call back,CUSTOMER_SERVICE,WEBSITE_OR_APP,0.1274,@AmazonHelp for d last time m telling tat link does not work just give me call back thru a leadership team member else u ll be in trouble
163,"@AmazonHelp There's nothing written but the title of the book, but i did pay the price listed for the hardcover book",PRODUCT_INFORMATION,RESOLUTION_CONFIRMATION,0.1808,@AmazonHelp Thanks for the acknowledgement of the issue.
164,"@AmazonHelp Done
Let's see how responsive Amazon.in is",CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,0.0677,"@AmazonHelp Yes
Have done whatever I could."
165,@AmazonHelp I have no contact information. They did not leave a card. I have tweeted them and they have not responded.,DELIVERY_PROBLEM,REFUND,0.1392,@AmazonHelp I have drop the courier to the bluedart. Plz contact with them and initiate my refund. @AmazonHelp
166,"@AmazonHelp Tomorrow (19/10). Still says ""Preparing for Dispatch"", can't believe will be delivered on time if it hasn't been dispatched yet",ORDER_DISPATCH,DELIVERY_DELAY,0.1106,@AmazonHelp It will be there Sunday. Errr..It will be there Monday. Errr...We can send another TV?
167,"@AmazonHelp This link is not opening either, page can't be loaded error is getting displayed",WEBSITE_OR_APP,WEBSITE_OR_APP,0.0851,@AmazonHelp This is what it states on their website: https://t.co/c33ssSAyIJ
168,"@AmazonHelp thank you! Me too, my co worker loves wine and has cats so I figured this would be perfect for her. Any way for a replacement? I logged into my app and don’t see anything thx",OTHER,CASUAL_ENGAGEMENT,0.2079,@AmazonHelp thank you!
169,@AmazonHelp I am using website. The problem is present on just chrome browser. While it works fine in Firefox. Works fine in chrome on mobile as well. I am using chrome Version 62.0.3202.94 (Official Build) (64-bit) on desktop.,WEBSITE_OR_APP,WEBSITE_OR_APP,0.0463,@AmazonHelp This is what it states on their website: https://t.co/c33ssSAyIJ
170,@AmazonHelp I’ve tried it on both the app and the desktop site and both have done the same thing,WEBSITE_OR_APP,RESOLUTION_CONFIRMATION,0.1263,"@AmazonHelp Yes
Have done whatever I could."
171,@AmazonHelp i did..no one called,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.1923,@AmazonHelp Did you even read my tweet? 🤦‍♀️
172,"@AmazonHelp No call no msg,,, what a fantastic response... Total failure of APNI DUKAAN??",CUSTOMER_SERVICE,DELIVERY_TRACKING,0.0654,"@AmazonHelp No aún no, si me saliese que se ha entregado y no lo han hecho os aviso a ver si me podéis ayudar, gracias por comtestar!"
173,"@AmazonHelp I have the ""Amazon Echo, Black (previous generation)"" 
I have seen other @119038 streamers use it on there live streams to play music and would like to know how.",DEVICE,INSUFFICIENT_CONTEXT,0.0812,@AmazonHelp How long I have to wait??
174,@AmazonHelp Amazon EU.,CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,0.3769,@AmazonHelp Amazon Canada.
175,@AmazonHelp I used @145869 and it’s showing the seller to be https://t.co/eFW8uDgHVP LLC,SELLER,DEVICE,0.1466,@AmazonHelp The latest Android one. There used to be a drawing pen option here https://t.co/d8s1AEus6N
176,@AmazonHelp Lp Collect,DELIVERY_PROBLEM,CASUAL_ENGAGEMENT,0.0091,@AmazonHelp thank you!
177,"@AmazonHelp I’ve already reached out to them and all I was told was that if they can’t try again and deliver it today, I’ll be given a refund.",DELIVERY_PROBLEM,DELIVERY_DELAY,0.1238,"@AmazonHelp Hello, I understand that. The delivery tracker was showing that it may get delayed till Sunday. Please deliver it TODAY and keep your words."
178,"@AmazonHelp read tweet carefully and then reply ,package is in my city since early Thursday morning yet no sign of it getting delivered before Saturday😠",DELIVERY_DELAY,CUSTOMER_SERVICE,0.1002,@AmazonHelp Did you even read my tweet? 🤦‍♀️
179,@AmazonHelp UPS.,DELIVERY_PROBLEM,CASUAL_ENGAGEMENT,0.0129,@AmazonHelp thank you!
180,@AmazonHelp Celle du moment est la boutique lego!,CASUAL_ENGAGEMENT,DELIVERY_TRACKING,0.0566,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS"
181,@AmazonHelp I think its a fake . Still no winner list put at nowhere. What is the fact about one plus 5 contest of 9 th June 2017 winner list??,OTHER,OTHER,0.0628,@AmazonHelp I give up now. Removing the item from my wish list. https://t.co/kpHzTPwb3v
182,"@AmazonHelp Quero um Kindle, mas preciso de agora, adianta para mim 💜",PRODUCT_INFORMATION,CASUAL_ENGAGEMENT,0.0404,@AmazonHelp Ha sido abrir el chat porque no era claro el seguimiento y me ha llamado para concretar la entrega. Amazon solucionando problemas antes de que los haya https://t.co/JS4kyUJbWq
183,@AmazonHelp Both by sellers. One of the items has now changed and is due to be delivered today. The other still says waiting to be dispatched. Why does it matter if it's an Amazon item or a different seller?,ORDER_DISPATCH,DELIVERY_DELAY,0.1461,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
184,"@AmazonHelp I’m aware of what two day shipping means. I’m also aware that the delivery date was supposed to be yesterday, and that I pay $99 per year and your response is ¯\_(ツ)_/¯",DELIVERY_DELAY,DELIVERY_DELAY,0.1259,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
185,@AmazonHelp Hahahaha adorei! ❤️,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,0.0091,@AmazonHelp thank you!
186,"@AmazonHelp Yes, and found it outside my door! But who knows if this note was even for me...",DELIVERY_PROBLEM,RESOLUTION_CONFIRMATION,0.0702,"@AmazonHelp Yes
Have done whatever I could."
187,"@AmazonHelp Thanks, I finally found the call option on the website and talk to a rep.",CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,0.1562,@AmazonHelp Hi ya. Not to worry found the answer on your website. It is back out for delivery today. Thanks
188,@AmazonHelp Kaha kaha dalu yst I call u ur representative told me about cancelation mail received and fud process,ORDER_CANCELLATION,ORDER_CANCELLATION,0.062,"@AmazonHelp I have tried to cancel Amazon Prime through customer services but this was unsuccessful, as they could not discuss it with me as I didn't know the email. They have told me to contact my bank, and my bank has raised a Visa dispute, and have told me to inform you of this action."
189,"@AmazonHelp fui garimpando os novos do SK, além de outros que eu queria faz tempo (tá bem variado)! vcs ainda vão me levar à falência kkkk",CASUAL_ENGAGEMENT,FEEDBACK,0.0399,@AmazonHelp C'est qd mm discriminatoire. J'ai rarement fait d'achats de plus de 50€ et ce n'est que mtn qu'on me dit que je ne peux laisser d'avis.
190,@AmazonHelp I don't want return just keep the amount and let me aware the people,RETURN,CUSTOMER_SERVICE,0.0862,@AmazonHelp Yes i have shared the details.  I am getting irritated now because of this. I don't want to call you guys after every 4 or 5 hours. Pls chek
191,@AmazonHelp Oui livraison en soirée impossible car le livreur refuse de rentrer dans l'immeuble (accord avec Amazon selon lui ) indiqué nulle part 1/2,DELIVERY_INSTRUCTIONS,DELIVERY_TRACKING,0.0621,"@AmazonHelp Bonsoir, merci pour votre réponse ! Écoutez, justement, impossible de trouver où que ce soit le nom du livreur, mais j'imagine que c'est GLS"
192,"@AmazonHelp Just says amazon shipping, other than that there no extra information on the order.",DELIVERY_TRACKING,FEEDBACK,0.0818,"@AmazonHelp Ok now that just sounds dumb. Not just that I don't get the product I want, but you get less money than you would."
193,@AmazonHelp pcのみですか！タブレットではどうやっても無理…ですよね？,WEBSITE_OR_APP,CASUAL_ENGAGEMENT,0.0075,@AmazonHelp thank you!
194,@AmazonHelp Yes all the items in my order are fulfilled by Amazon,SELLER,RESOLUTION_CONFIRMATION,0.0914,"@AmazonHelp Yes
Have done whatever I could."
195,@AmazonHelp I have filled the form but i feels that your support going to bad day by day,CUSTOMER_SERVICE,CUSTOMER_SERVICE,0.0668,@AmazonHelp I’m anxious with phone calls. So no I’m not going to phone you. I can DM you instead if you’re gonna be able to help that way?
196,@AmazonHelp yet another delivery attempt fail. Was told an attempt was made but it wasn't. Been on w/ support for 1 hour.,DELIVERY_PROBLEM,DELIVERY_DELAY,0.0958,"@AmazonHelp I ordered a package 11/22 using prime. It was lost/delayed. The initial delay was not an issue. However I need it 12/1. I called today for a way to fix the situation. A replacement was shipped and I was told it would be here 12/1. However, it now scheduled to arrive 12/2."
197,"@AmazonHelp All I get is an email saying they couldn't deliver. I've been on the phone with them three times about the first parcel, changed the delivery address, nothing has worked. I spoke with Amazon last night, but tried calling courier again today and can't get through.",DELIVERY_PROBLEM,DELIVERY_DELAY,0.1199,"@AmazonHelp Thanks for the reply.  On the phone with you guys right now - hope to get it worked out soon.  3 delayed deliveries, one of which was supposed to be delivered yesterday and still isn't here today."
198,@AmazonHelp Because I sent everything on Saturday and no email has been received,OTHER,ORDER_CANCELLATION,0.0836,@AmazonHelp I’ll definitely be calling later  👍🏻 this has been happening for months and they said they canceled it
199,"@AmazonHelp Thanks ! Hw much time does it take 2 reslv? Cn u share current status, I ws told it's goin 2 take 24-48hrs 2 resolve it, it's +6 dz nw !!!😤",CUSTOMER_SERVICE,ACCOUNT,0.0772,@AmazonHelp It’s not letting me log in for some reason. Where does the link take me? Customer service?
200,@AmazonHelp Ok it is usually good 🤗 just this time was off,FEEDBACK,CASUAL_ENGAGEMENT,0.1013,@AmazonHelp Ok will get back to you in sometime if that's ok with you ??
