example_id,customer_message,actual_intent,predicted_intent,top_match_intent,intent_match,top_similarity
147,@AmazonHelp Ok thank you,RESOLUTION_CONFIRMATION,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,False,0.9344252943992615
148,"@AmazonHelp I just gave you the tracking number. Go to your data base, not Twitter, and hunt the damn thing down. I pay Prime. I expect Prime service",DELIVERY_PROBLEM,DELIVERY_TRACKING,DELIVERY_TRACKING,False,0.7467402815818787
149,@AmazonHelp Just re-ordered with another email address and now that account has been immediately locked,ACCOUNT,ACCOUNT,ACCOUNT,True,0.7771444916725159
150,@AmazonHelp Please share the escalation matrix.,CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.8129671812057495
151,@AmazonHelp I have already sent a mail yesterday at 9pm &amp; called customer care but no response as of now. Marked mail to Jeff also.#fraud,ACCOUNT,ORDER_CANCELLATION,ORDER_CANCELLATION,False,0.8125743865966797
152,@AmazonHelp Merci,RESOLUTION_CONFIRMATION,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.8317763805389404
153,@AmazonHelp Nope! 18-20th. Not acceptable,DELIVERY_TRACKING,DELIVERY_DELAY,DELIVERY_DELAY,False,0.7753297686576843
154,@AmazonHelp Still waiting,CUSTOMER_SERVICE,DELIVERY_DELAY,DELIVERY_DELAY,False,0.8438878655433655
155,@AmazonHelp The delivery date was supposed to be today,DELIVERY_DELAY,DELIVERY_DELAY,DELIVERY_DELAY,True,0.886317789554596
156,@AmazonHelp i dont have any fax service in my town and u ppl r crazy,ACCOUNT,SELLER,SELLER,False,0.6896436810493469
157,"@AmazonHelp #unprofessional order id # 
403-7503264-7181114,403-8300003-6354735,403-5491238-8117144",CUSTOMER_SERVICE,ORDER_DISPATCH,ORDER_DISPATCH,False,0.7286591529846191
158,@AmazonHelp Yes iv done everything iv just sent you a full message now ..,PACKAGE_NOT_RECEIVED,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.7881041765213013
159,"@AmazonHelp わかりますが、同じ表品を2セットで別はやっぱり嫌です…
開けると「入るやん」って思ってしまいますし…
でも、わざわざありがとうございます😊",FEEDBACK,PRODUCT_INFORMATION,PRODUCT_INFORMATION,False,0.6389418840408325
160,@AmazonHelp It's on Amazon.in but transaction has been made on .uk,PAYMENT,ORDER_CANCELLATION,ORDER_CANCELLATION,False,0.7262552976608276
161,@AmazonHelp Why false assurances then,CUSTOMER_SERVICE,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.7498293519020081
162,@AmazonHelp Call me option is not working. PL call back,CUSTOMER_SERVICE,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True,0.8566951751708984
163,"@AmazonHelp There's nothing written but the title of the book, but i did pay the price listed for the hardcover book",PRODUCT_INFORMATION,PAYMENT,PAYMENT,False,0.692267656326294
164,"@AmazonHelp Done
Let's see how responsive Amazon.in is",CUSTOMER_SERVICE,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,False,0.8283264636993408
165,@AmazonHelp I have no contact information. They did not leave a card. I have tweeted them and they have not responded.,DELIVERY_PROBLEM,CUSTOMER_SERVICE,CUSTOMER_SERVICE,False,0.8306198120117188
166,"@AmazonHelp Tomorrow (19/10). Still says ""Preparing for Dispatch"", can't believe will be delivered on time if it hasn't been dispatched yet",ORDER_DISPATCH,ORDER_DISPATCH,ORDER_DISPATCH,True,0.7545065879821777
167,"@AmazonHelp This link is not opening either, page can't be loaded error is getting displayed",WEBSITE_OR_APP,WEBSITE_OR_APP,WEBSITE_OR_APP,True,0.8594116568565369
168,"@AmazonHelp thank you! Me too, my co worker loves wine and has cats so I figured this would be perfect for her. Any way for a replacement? I logged into my app and don’t see anything thx",OTHER,ORDER_CANCELLATION,ORDER_CANCELLATION,False,0.5930166244506836
169,@AmazonHelp I am using website. The problem is present on just chrome browser. While it works fine in Firefox. Works fine in chrome on mobile as well. I am using chrome Version 62.0.3202.94 (Official Build) (64-bit) on desktop.,WEBSITE_OR_APP,DEVICE,DEVICE,False,0.6195351481437683
170,@AmazonHelp I’ve tried it on both the app and the desktop site and both have done the same thing,WEBSITE_OR_APP,DEVICE,DEVICE,False,0.6772782802581787
171,@AmazonHelp i did..no one called,CUSTOMER_SERVICE,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,False,0.8498283624649048
172,"@AmazonHelp No call no msg,,, what a fantastic response... Total failure of APNI DUKAAN??",CUSTOMER_SERVICE,ORDER_DISPATCH,ORDER_DISPATCH,False,0.6885980367660522
173,"@AmazonHelp I have the ""Amazon Echo, Black (previous generation)"" 
I have seen other @119038 streamers use it on there live streams to play music and would like to know how.",DEVICE,PRODUCT_INFORMATION,PRODUCT_INFORMATION,False,0.5884913206100464
174,@AmazonHelp Amazon EU.,CUSTOMER_SERVICE,WEBSITE_OR_APP,WEBSITE_OR_APP,False,0.7506901621818542
175,@AmazonHelp I used @145869 and it’s showing the seller to be https://t.co/eFW8uDgHVP LLC,SELLER,SELLER,SELLER,True,0.7188796997070312
176,@AmazonHelp Lp Collect,DELIVERY_PROBLEM,INSUFFICIENT_CONTEXT,INSUFFICIENT_CONTEXT,False,0.7266409993171692
177,"@AmazonHelp I’ve already reached out to them and all I was told was that if they can’t try again and deliver it today, I’ll be given a refund.",DELIVERY_PROBLEM,REFUND,REFUND,False,0.8513180613517761
178,"@AmazonHelp read tweet carefully and then reply ,package is in my city since early Thursday morning yet no sign of it getting delivered before Saturday😠",DELIVERY_DELAY,DELIVERY_DELAY,DELIVERY_DELAY,True,0.8424095511436462
179,@AmazonHelp UPS.,DELIVERY_PROBLEM,DELIVERY_TRACKING,DELIVERY_TRACKING,False,0.81436687707901
180,@AmazonHelp Celle du moment est la boutique lego!,CASUAL_ENGAGEMENT,PRODUCT_INFORMATION,PRODUCT_INFORMATION,False,0.5851812362670898
181,@AmazonHelp I think its a fake . Still no winner list put at nowhere. What is the fact about one plus 5 contest of 9 th June 2017 winner list??,OTHER,PRODUCT_INFORMATION,PRODUCT_INFORMATION,False,0.6577487587928772
182,"@AmazonHelp Quero um Kindle, mas preciso de agora, adianta para mim 💜",PRODUCT_INFORMATION,ORDER_DISPATCH,ORDER_DISPATCH,False,0.6554808616638184
183,@AmazonHelp Both by sellers. One of the items has now changed and is due to be delivered today. The other still says waiting to be dispatched. Why does it matter if it's an Amazon item or a different seller?,ORDER_DISPATCH,ORDER_DISPATCH,ORDER_DISPATCH,True,0.7248050570487976
184,"@AmazonHelp I’m aware of what two day shipping means. I’m also aware that the delivery date was supposed to be yesterday, and that I pay $99 per year and your response is ¯\_(ツ)_/¯",DELIVERY_DELAY,PAYMENT,PAYMENT,False,0.7770331501960754
185,@AmazonHelp Hahahaha adorei! ❤️,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,True,0.8101389408111572
186,"@AmazonHelp Yes, and found it outside my door! But who knows if this note was even for me...",DELIVERY_PROBLEM,PACKAGE_NOT_RECEIVED,PACKAGE_NOT_RECEIVED,False,0.6953690648078918
187,"@AmazonHelp Thanks, I finally found the call option on the website and talk to a rep.",CUSTOMER_SERVICE,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True,0.8074601888656616
188,@AmazonHelp Kaha kaha dalu yst I call u ur representative told me about cancelation mail received and fud process,ORDER_CANCELLATION,ORDER_CANCELLATION,ORDER_CANCELLATION,True,0.7951048016548157
189,"@AmazonHelp fui garimpando os novos do SK, além de outros que eu queria faz tempo (tá bem variado)! vcs ainda vão me levar à falência kkkk",CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,CASUAL_ENGAGEMENT,True,0.8139086961746216
190,@AmazonHelp I don't want return just keep the amount and let me aware the people,RETURN,RESOLUTION_CONFIRMATION,RESOLUTION_CONFIRMATION,False,0.7478578686714172
191,@AmazonHelp Oui livraison en soirée impossible car le livreur refuse de rentrer dans l'immeuble (accord avec Amazon selon lui ) indiqué nulle part 1/2,DELIVERY_INSTRUCTIONS,DELIVERY_PROBLEM,DELIVERY_PROBLEM,False,0.7685572504997253
192,"@AmazonHelp Just says amazon shipping, other than that there no extra information on the order.",DELIVERY_TRACKING,ORDER_DISPATCH,ORDER_DISPATCH,False,0.8052202463150024
193,@AmazonHelp pcのみですか！タブレットではどうやっても無理…ですよね？,WEBSITE_OR_APP,DEVICE,DEVICE,False,0.7364665269851685
194,@AmazonHelp Yes all the items in my order are fulfilled by Amazon,SELLER,ORDER_CANCELLATION,ORDER_CANCELLATION,False,0.7373372316360474
195,@AmazonHelp I have filled the form but i feels that your support going to bad day by day,CUSTOMER_SERVICE,CUSTOMER_SERVICE,CUSTOMER_SERVICE,True,0.824061393737793
196,@AmazonHelp yet another delivery attempt fail. Was told an attempt was made but it wasn't. Been on w/ support for 1 hour.,DELIVERY_PROBLEM,DELIVERY_PROBLEM,DELIVERY_PROBLEM,True,0.8752099871635437
197,"@AmazonHelp All I get is an email saying they couldn't deliver. I've been on the phone with them three times about the first parcel, changed the delivery address, nothing has worked. I spoke with Amazon last night, but tried calling courier again today and can't get through.",DELIVERY_PROBLEM,DELIVERY_PROBLEM,DELIVERY_PROBLEM,True,0.8279088735580444
198,@AmazonHelp Because I sent everything on Saturday and no email has been received,OTHER,ORDER_DISPATCH,ORDER_DISPATCH,False,0.7716176509857178
199,"@AmazonHelp Thanks ! Hw much time does it take 2 reslv? Cn u share current status, I ws told it's goin 2 take 24-48hrs 2 resolve it, it's +6 dz nw !!!😤",CUSTOMER_SERVICE,ORDER_DISPATCH,ORDER_DISPATCH,False,0.7020617723464966
200,@AmazonHelp Ok it is usually good 🤗 just this time was off,FEEDBACK,DELIVERY_DELAY,DELIVERY_DELAY,False,0.7668479681015015
